title,year,km,currency,price,location,link,ratio,model,type
Bmw Serie 3 2.0 320i Sedan Executive,2017,9000,U$S,35000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-917237446-bmw-serie-3-20-320i-sedan-executive-2017-_JM#position=39&search_layout=grid&type=item&tracking_id=eb64105c-d94b-4307-a60a-5426e290f636,"6,40",320,i
Bmw Serie 5 3.0 530ia Sportline,2019,5000,U$S,65000,Chascomús - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-914585618-bmw-serie-5-30-530ia-sportline-2019-_JM#position=8&search_layout=grid&type=item&tracking_id=e22ca731-c96c-4070-b63d-ebc99635b37e,"6,21",530,i
Bmw Serie 2 2.0 220i Sport Line 184cv,2018,7000,U$S,46500,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-917260920-bmw-serie-2-20-220i-sport-line-184cv-2018-_JM#position=37&search_layout=grid&type=item&tracking_id=e7b70bfe-b7d8-435d-87f2-427a89e0b48b,"6,20",220,i
Bmw X1 At,2019,8000,U$S,41000,Mar del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-913486541-bmw-x1-2019-_JM#position=33&search_layout=grid&type=item&tracking_id=2efd035f-d4ad-444e-87c1-8ee227f64c03,"6,16",,
Bmw Serie 1 1.5 118i Active 136cv,2019,11000,U$S,29999,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-916880396-bmw-serie-1-118-active-2019-blanco-service-bonificados-_JM#position=33&search_layout=grid&type=item&tracking_id=7103d3c5-4c94-43db-9a98-9b5ddb19e84b,"6,12",118,i
Bmw Serie 2 3.0 240i M Package,2019,5700,U$S,58000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-919795359-bmw-serie-2-30-240i-m-package-2019-_JM#position=35&search_layout=grid&type=item&tracking_id=8a231528-a52f-4508-a2c2-753cf2074b02,"6,11",240,i
Bmw Serie 5 3.0 530ia Sportline,2019,4000,U$S,83870,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-908999844-bmw-serie-5-30-530ia-sportline-2019-blindado-_JM#position=25&search_layout=grid&type=item&tracking_id=7053c39e-55a8-43c4-b9dc-291bcd50cf7e,"6,02",530,i
Bmw Serie 2 3.0 240i M Package Cabrio,2019,4500,U$S,77500,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-921397902-bmw-m240i-cabrio-_JM#position=46&search_layout=grid&type=item&tracking_id=4238591b-075d-43a4-9bd1-23b4a8c6381c,"5,79",240,i
Bmw Serie 2 2.0 220i Sport Line 184cv,2018,8600,U$S,41000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-918532205-bmw-serie-2-20-220i-sport-line-184cv-2018-_JM#position=33&search_layout=grid&type=item&tracking_id=7dd6d149-3a2d-4888-b147-a9def7759679,"5,72",220,i
Bmw Serie 4 3.0 440i Coupe M Package 326cv,2017,5700,U$S,63000,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-902124721-bmw-serie-4-30-440i-coupe-m-package-_JM#position=31&search_layout=grid&type=item&tracking_id=4c7d1cd4-42b3-4cc2-95c5-2d8ecca0f372,"5,62",440,i
Bmw Serie 4 3.0 435i M Package 306cv,2015,7300,U$S,49500,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-916163242-bmw-serie-4-30-435i-m-package-306cv-2015-_JM#position=44&search_layout=grid&type=item&tracking_id=7103d3c5-4c94-43db-9a98-9b5ddb19e84b,"5,58",435,i
